date,net,cash,holdings,cost_basis,starting_cash,margin,mtm,realized,pnls,liquid_value,commissions,charges,day_pnl,gross_leverage,net_leverage,gross_exposure,net_exposure,long_exposure,short_exposure,longs_count,shorts_count,algo_returns,algo_cum_returns,algo_volatility,drawdown,sharpe,strategy_vol,benchmark,benchmark_returns,alpha,beta
2022-03-03 00:00:00+05:30,9124.1300,832.1300,8292.0000,8462.2500,10000.0000,0.0000,-170.2500,-705.6100,-875.8700,9124.1300,0.0000,0.0000,-261.0100,0.9100,0.9100,8292.0000,8292.0000,8292.0000,0.0000,1,0,-0.0278,-0.0876,0.3137,-0.2057,,,9361.1695,-0.0070,,
2022-03-04 00:00:00+05:30,9094.1300,832.1300,8262.0000,8462.2500,10000.0000,0.0000,-200.2500,-705.6100,-905.8700,9094.1300,0.0000,0.0000,-30.0000,0.9100,0.9100,8262.0000,8262.0000,8262.0000,0.0000,1,0,-0.0033,-0.0906,0.3101,-0.2084,,,9210.7897,-0.0161,,
2022-03-07 00:00:00+05:30,8812.1300,832.1300,7980.0000,8462.2500,10000.0000,0.0000,-482.2500,-705.6100,-1187.8700,8812.1300,0.0000,0.0000,-282.0000,0.9100,0.9100,7980.0000,7980.0000,7980.0000,0.0000,1,0,-0.0310,-0.1188,0.3154,-0.2329,,,9005.2366,-0.0223,,
2022-03-08 00:00:00+05:30,8772.2300,832.1300,7940.1000,8462.2500,10000.0000,0.0000,-522.1500,-705.6100,-1227.7700,8772.2300,0.0000,0.0000,-39.9000,0.9100,0.9100,7940.1000,7940.1000,7940.1000,0.0000,1,0,-0.0045,-0.1228,0.3121,-0.2364,,,9082.5529,0.0086,,
2022-03-09 00:00:00+05:30,8851.7300,832.1300,8019.6000,8462.2500,10000.0000,0.0000,-442.6500,-705.6100,-1148.2700,8851.7300,0.0000,0.0000,79.5000,0.9100,0.9100,8019.6000,8019.6000,8019.6000,0.0000,1,0,0.0091,-0.1148,0.3094,-0.2295,,,9280.7344,0.0218,,
2022-03-10 00:00:00+05:30,9051.5300,832.1300,8219.4000,8462.2500,10000.0000,0.0000,-242.8500,-705.6100,-948.4700,9051.5300,0.0000,0.0000,199.8000,0.9100,0.9100,8219.4000,8219.4000,8219.4000,0.0000,1,0,0.0226,-0.0948,0.3105,-0.2121,,,9393.8028,0.0122,,
2022-03-11 00:00:00+05:30,9123.8300,832.1300,8291.7000,8462.2500,10000.0000,0.0000,-170.5500,-705.6100,-876.1700,9123.8300,0.0000,0.0000,72.3000,0.9100,0.9100,8291.7000,8291.7000,8291.7000,0.0000,1,0,0.0080,-0.0876,0.3078,-0.2058,,,9424.5365,0.0033,,
2022-03-14 00:00:00+05:30,9115.1300,832.1300,8283.0000,8462.2500,10000.0000,0.0000,-179.2500,-705.6100,-884.8700,9115.1300,0.0000,0.0000,-8.7000,0.9100,0.9100,8283.0000,8283.0000,8283.0000,0.0000,1,0,-0.0010,-0.0885,0.3047,-0.2065,,,9575.3132,0.0160,,
2022-03-15 00:00:00+05:30,9088.1300,832.1300,8256.0000,8462.2500,10000.0000,0.0000,-206.2500,-705.6100,-911.8700,9088.1300,0.0000,0.0000,-27.0000,0.9100,0.9100,8256.0000,8256.0000,8256.0000,0.0000,1,0,-0.0030,-0.0912,0.3017,-0.2089,,,9438.4291,-0.0143,,
2022-03-16 00:00:00+05:30,9610.1300,832.1300,8778.0000,8462.2500,10000.0000,0.0000,315.7500,-705.6100,-389.8700,9610.1300,0.0000,0.0000,522.0000,0.9100,0.9100,8778.0000,8778.0000,8778.0000,0.0000,1,0,0.0574,-0.0390,0.3248,-0.1634,,,9620.6483,0.0193,,
2022-03-17 00:00:00+05:30,9532.1300,832.1300,8700.0000,8462.2500,10000.0000,0.0000,237.7500,-705.6100,-467.8700,9532.1300,0.0000,0.0000,-78.0000,0.9100,0.9100,8700.0000,8700.0000,8700.0000,0.0000,1,0,-0.0081,-0.0468,0.3222,-0.1702,,,9809.5019,0.0196,,
2022-03-21 00:00:00+05:30,9502.1300,832.1300,8670.0000,8462.2500,10000.0000,0.0000,207.7500,-705.6100,-497.8700,9502.1300,0.0000,0.0000,-30.0000,0.9100,0.9100,8670.0000,8670.0000,8670.0000,0.0000,1,0,-0.0031,-0.0498,0.3192,-0.1728,,,9704.2871,-0.0107,,
2022-03-22 00:00:00+05:30,9358.1300,832.1300,8526.0000,8462.2500,10000.0000,0.0000,63.7500,-705.6100,-641.8700,9358.1300,0.0000,0.0000,-144.0000,0.9100,0.9100,8526.0000,8526.0000,8526.0000,0.0000,1,0,-0.0152,-0.0642,0.3179,-0.1854,,,9826.7400,0.0126,,
2022-03-23 00:00:00+05:30,9268.1300,832.1300,8436.0000,8462.2500,10000.0000,0.0000,-26.2500,-705.6100,-731.8700,9268.1300,0.0000,0.0000,-90.0000,0.9100,0.9100,8436.0000,8436.0000,8436.0000,0.0000,1,0,-0.0096,-0.0732,0.3157,-0.1932,,,9766.4917,-0.0061,,
2022-03-24 00:00:00+05:30,9238.1300,832.1300,8406.0000,8462.2500,10000.0000,0.0000,-56.2500,-705.6100,-761.8700,9238.1300,0.0000,0.0000,-30.0000,0.9100,0.9100,8406.0000,8406.0000,8406.0000,0.0000,1,0,-0.0032,-0.0762,0.3129,-0.1958,,,9751.6069,-0.0015,,
2022-03-25 00:00:00+05:30,9180.8300,832.1300,8348.7000,8462.2500,10000.0000,0.0000,-113.5500,-705.6100,-819.1700,9180.8300,0.0000,0.0000,-57.3000,0.9100,0.9100,8348.7000,8348.7000,8348.7000,0.0000,1,0,-0.0062,-0.0819,0.3104,-0.2008,,,9740.6346,-0.0011,,
2022-03-28 00:00:00+05:30,9250.1300,832.1300,8418.0000,8462.2500,10000.0000,0.0000,-44.2500,-705.6100,-749.8700,9250.1300,0.0000,0.0000,69.3000,0.9100,0.9100,8418.0000,8418.0000,8418.0000,0.0000,1,0,0.0075,-0.0750,0.3081,-0.1948,,,9761.4734,0.0021,,
2022-03-29 00:00:00+05:30,9208.1300,832.1300,8376.0000,8462.2500,10000.0000,0.0000,-86.2500,-705.6100,-791.8700,9208.1300,0.0000,0.0000,-42.0000,0.9100,0.9100,8376.0000,8376.0000,8376.0000,0.0000,1,0,-0.0045,-0.0792,0.3056,-0.1984,,,9830.1139,0.0070,,
2022-03-30 00:00:00+05:30,9268.1300,832.1300,8436.0000,8462.2500,10000.0000,0.0000,-26.2500,-705.6100,-731.8700,9268.1300,0.0000,0.0000,60.0000,0.9100,0.9100,8436.0000,8436.0000,8436.0000,0.0000,1,0,0.0065,-0.0732,0.3033,-0.1932,-0.8922,0.3055,9907.1467,0.0078,,
2022-03-31 00:00:00+05:30,9791.9300,832.1300,8959.8000,8462.2500,10000.0000,0.0000,497.5500,-705.6100,-208.0700,9791.9300,0.0000,0.0000,523.8000,0.9200,0.9200,8959.8000,8959.8000,8959.8000,0.0000,1,0,0.0565,-0.0208,0.3220,-0.1476,-0.1077,0.3275,9905.5307,-0.0002,-0.00012727447631075123,0.17882528715428703
2022-04-01 00:00:00+05:30,9959.9300,832.1300,9127.8000,8462.2500,10000.0000,0.0000,665.5500,-705.6100,-40.0700,9959.9300,0.0000,0.0000,168.0000,0.9200,0.9200,9127.8000,9127.8000,9127.8000,0.0000,1,0,0.0172,-0.0040,0.3213,-0.1330,0.1735,0.3293,10030.0533,0.0126,0.00011552279999995374,0.1945081155339693
2022-04-04 00:00:00+05:30,10201.1300,832.1300,9369.0000,8462.2500,10000.0000,0.0000,906.7500,-705.6100,201.1300,10201.1300,0.0000,0.0000,241.2000,0.9200,0.9200,9369.0000,9369.0000,9369.0000,0.0000,1,0,0.0242,0.0201,0.3224,-0.1120,0.2750,0.3314,10227.2141,0.0197,0.0005477847226002474,0.2318101979591377
2022-04-05 00:00:00+05:30,10119.5300,832.1300,9287.4000,8462.2500,10000.0000,0.0000,825.1500,-705.6100,119.5300,10119.5300,0.0000,0.0000,-81.6000,0.9200,0.9200,9287.4000,9287.4000,9287.4000,0.0000,1,0,-0.0080,0.0120,0.3203,-0.1191,0.3070,0.3310,10167.5045,-0.0058,0.00019665992496258885,0.22889682565121366
2022-04-06 00:00:00+05:30,10156.1300,832.1300,9324.0000,8462.2500,10000.0000,0.0000,861.7500,-705.6100,156.1300,10156.1300,0.0000,0.0000,36.6000,0.9200,0.9200,9324.0000,9324.0000,9324.0000,0.0000,1,0,0.0036,0.0156,0.3179,-0.1159,0.2906,0.3310,10092.9667,-0.0073,0.0004228720847017974,0.21929731352635823
2022-04-07 00:00:00+05:30,10318.1300,832.1300,9486.0000,8462.2500,10000.0000,0.0000,1023.7500,-705.6100,318.1300,10318.1300,0.0000,0.0000,162.0000,0.9200,0.9200,9486.0000,9486.0000,9486.0000,0.0000,1,0,0.0160,0.0318,0.3170,-0.1018,0.1486,0.3279,10011.2274,-0.0081,0.0006479560727211753,0.20670275351575823
2022-04-08 00:00:00+05:30,10552.1300,832.1300,9720.0000,8462.2500,10000.0000,0.0000,1257.7500,-705.6100,552.1300,10552.1300,0.0000,0.0000,234.0000,0.9200,0.9200,9720.0000,9720.0000,9720.0000,0.0000,1,0,0.0227,0.0552,0.3177,-0.0814,0.5567,0.3304,10093.5337,0.0082,0.0005796541161682974,0.19931368471205835
2022-04-11 00:00:00+05:30,10916.6300,832.1300,10084.5000,8462.2500,10000.0000,0.0000,1622.2500,-705.6100,916.6300,10916.6300,0.0000,0.0000,364.5000,0.9200,0.9200,10084.5000,10084.5000,10084.5000,0.0000,1,0,0.0345,0.0917,0.3223,-0.0497,0.7218,0.3352,10025.1200,-0.0068,0.0013288798355276328,0.18331924956606505
2022-04-12 00:00:00+05:30,10840.1300,832.1300,10008.0000,8462.2500,10000.0000,0.0000,1545.7500,-705.6100,840.1300,10840.1300,0.0000,0.0000,-76.5000,0.9200,0.9200,10008.0000,10008.0000,10008.0000,0.0000,1,0,-0.0070,0.0840,0.3202,-0.0564,0.5585,0.3354,9934.5632,-0.0090,0.0009211515005007548,0.17594514095849528
2022-04-13 00:00:00+05:30,10923.5300,832.1300,10091.4000,8462.2500,10000.0000,0.0000,1629.1500,-705.6100,923.5300,10923.5300,0.0000,0.0000,83.4000,0.9200,0.9200,10091.4000,10091.4000,10091.4000,0.0000,1,0,0.0077,0.0924,0.3182,-0.0491,0.2527,0.3291,9904.7935,-0.0030,0.0009652471964861415,0.17310799922788603
2022-04-18 00:00:00+05:30,11266.1300,832.1300,10434.0000,8462.2500,10000.0000,0.0000,1971.7500,-705.6100,1266.1300,11266.1300,0.0000,0.0000,342.6000,0.9300,0.9300,10434.0000,10434.0000,10434.0000,0.0000,1,0,0.0314,0.1266,0.3214,-0.0193,0.4171,0.3333,9745.0859,-0.0161,0.0009550803583262687,0.13325613261811198
